"Path","ServiceImport","DirectPrisma"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\vendor-invoices\dashboard\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\vendor-invoices\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\vendor-payments\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\vendors\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\procurement\vendors\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\projects\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\projects\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\projects\[id]\tasks\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\recruitment\jobs\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\recruitment\jobs\[id]\applications\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\reports\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\reports\builder\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\batches\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\batches\adjust\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\customers\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\customers\import\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\customers\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\customers\[id]\anonymise\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\customers\[id]\export\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\dashboard\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\expense-categories\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\expenses\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\expenses\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\pos\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\pos\return\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\products\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\products\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\purchase-orders\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\purchase-orders\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\purchase-orders\[id]\grn\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\reports\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\store-settings\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\suppliers\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\suppliers\import\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\retail\suppliers\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\sales\credit-notes\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\credit-notes\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\customer-ratings\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\customer-ratings\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\customers\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\customers\import\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\customers\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\customers\[id]\anonymise\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\dashboard\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\delivery-notes\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\delivery-notes\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\discounts\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\discounts\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\invoices\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\invoices\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\invoices\[id]\payments\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\[id]\check-inventory\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\[id]\credit-check\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\[id]\pack\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\[id]\pick\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\orders\[id]\ship\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\payments\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\price-lists\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\price-lists\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\quotations\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\quotations\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\returns\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\returns\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\statements\[customerId]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\tax-rates\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\sales\tax-rates\[id]\route.ts","Y","N"
"D:\code\React\ERP\erp-nodejs\app\api\search\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\security\policy\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\branches\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\companies\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\email-config\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\init\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\integrations\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\notification-templates\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\notification-templates\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\numbering-series\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\numbering-series\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\payment-terms\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\payment-terms\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\permissions\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\public\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\roles\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\roles\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\settings\security\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\upload\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\uploads\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\groups\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\groups\[id]\route.ts","N","Y"
"D:\code\React\ERP\erp-nodejs\app\api\users\me\route.ts","N","Y"
